@relation ThresholdCurve

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
51,0,1718,373,0.821616,1,0.02883,1,0.97117,0.056044,0.825864,1.210854,0
51,0,1717,374,0.821138,1,0.028846,1,0.971154,0.056075,0.825397,1.211538,0
51,0,1716,375,0.82066,1,0.028862,1,0.971138,0.056106,0.82493,1.212224,0
51,0,1715,376,0.820182,1,0.028879,1,0.971121,0.056136,0.824463,1.212911,0
51,0,1714,377,0.819703,1,0.028895,1,0.971105,0.056167,0.823996,1.213598,0
51,0,1713,378,0.819225,1,0.028912,1,0.971088,0.056198,0.823529,1.214286,0
51,0,1712,379,0.818747,1,0.028928,1,0.971072,0.056229,0.823063,1.214974,0
51,0,1711,380,0.818269,1,0.028944,1,0.971056,0.05626,0.822596,1.215664,0
51,0,1710,381,0.817791,1,0.028961,1,0.971039,0.056291,0.822129,1.216354,0
51,0,1709,382,0.817312,1,0.028977,1,0.971023,0.056322,0.821662,1.217045,0
51,0,1708,383,0.816834,1,0.028994,1,0.971006,0.056354,0.821195,1.217737,0
51,0,1707,384,0.816356,1,0.02901,1,0.97099,0.056385,0.820728,1.21843,0
51,0,1706,385,0.815878,1,0.029027,1,0.970973,0.056416,0.820261,1.219124,0
51,0,1705,386,0.815399,1,0.029043,1,0.970957,0.056447,0.819795,1.219818,0
51,0,1704,387,0.814921,1,0.02906,1,0.97094,0.056478,0.819328,1.220513,0
51,0,1703,388,0.814443,1,0.029076,1,0.970924,0.05651,0.818861,1.221209,0
51,0,1702,389,0.813965,1,0.029093,1,0.970907,0.056541,0.818394,1.221905,0
51,0,1701,390,0.813486,1,0.02911,1,0.97089,0.056572,0.817927,1.222603,0
51,0,1700,391,0.813008,1,0.029126,1,0.970874,0.056604,0.81746,1.223301,0
51,0,1699,392,0.81253,1,0.029143,1,0.970857,0.056635,0.816993,1.224,0
51,0,1698,393,0.812052,1,0.02916,1,0.97084,0.056667,0.816527,1.2247,0
51,0,1697,394,0.811573,1,0.029176,1,0.970824,0.056698,0.81606,1.2254,0
51,0,1696,395,0.811095,1,0.029193,1,0.970807,0.05673,0.815593,1.226102,0
51,0,1695,396,0.810617,1,0.02921,1,0.97079,0.056761,0.815126,1.226804,0
51,0,1694,397,0.810139,1,0.029226,1,0.970774,0.056793,0.814659,1.227507,0
51,0,1693,398,0.80966,1,0.029243,1,0.970757,0.056825,0.814192,1.228211,0
51,0,1692,399,0.809182,1,0.02926,1,0.97074,0.056856,0.813725,1.228916,0
51,0,1691,400,0.808704,1,0.029277,1,0.970723,0.056888,0.813259,1.229621,0
51,0,1690,401,0.808226,1,0.029294,1,0.970706,0.05692,0.812792,1.230327,0
51,0,1689,402,0.807747,1,0.02931,1,0.97069,0.056951,0.812325,1.231034,0
51,0,1688,403,0.807269,1,0.029327,1,0.970673,0.056983,0.811858,1.231742,0
51,0,1687,404,0.806791,1,0.029344,1,0.970656,0.057015,0.811391,1.232451,0
51,0,1686,405,0.806313,1,0.029361,1,0.970639,0.057047,0.810924,1.233161,0
51,0,1685,406,0.805835,1,0.029378,1,0.970622,0.057079,0.810458,1.233871,0
51,0,1684,407,0.805356,1,0.029395,1,0.970605,0.057111,0.809991,1.234582,0
51,0,1683,408,0.804878,1,0.029412,1,0.970588,0.057143,0.809524,1.235294,0
51,0,1682,409,0.8044,1,0.029429,1,0.970571,0.057175,0.809057,1.236007,0
51,0,1681,410,0.803922,1,0.029446,1,0.970554,0.057207,0.80859,1.236721,0
51,0,1680,411,0.803443,1,0.029463,1,0.970537,0.057239,0.808123,1.237435,0
51,0,1679,412,0.802965,1,0.02948,1,0.97052,0.057271,0.807656,1.23815,0
51,0,1678,413,0.802487,1,0.029497,1,0.970503,0.057303,0.80719,1.238866,0
51,0,1677,414,0.802009,1,0.029514,1,0.970486,0.057336,0.806723,1.239583,0
51,0,1676,415,0.80153,1,0.029531,1,0.970469,0.057368,0.806256,1.240301,0
51,0,1675,416,0.801052,1,0.029548,1,0.970452,0.0574,0.805789,1.24102,0
51,0,1674,417,0.800574,1,0.029565,1,0.970435,0.057432,0.805322,1.241739,0
51,0,1673,418,0.800096,1,0.029582,1,0.970418,0.057465,0.804855,1.242459,0
51,0,1672,419,0.799617,1,0.0296,1,0.9704,0.057497,0.804388,1.24318,0
51,0,1671,420,0.799139,1,0.029617,1,0.970383,0.05753,0.803922,1.243902,0
51,0,1670,421,0.798661,1,0.029634,1,0.970366,0.057562,0.803455,1.244625,0
51,0,1669,422,0.798183,1,0.029651,1,0.970349,0.057595,0.802988,1.245349,0
51,0,1668,423,0.797704,1,0.029668,1,0.970332,0.057627,0.802521,1.246073,0
51,0,1667,424,0.797226,1,0.029686,1,0.970314,0.05766,0.802054,1.246799,0
51,0,1666,425,0.796748,1,0.029703,1,0.970297,0.057692,0.801587,1.247525,0
51,0,1665,426,0.79627,1,0.02972,1,0.97028,0.057725,0.80112,1.248252,0
51,0,1664,427,0.795791,1,0.029738,1,0.970262,0.057758,0.800654,1.24898,0
51,0,1663,428,0.795313,1,0.029755,1,0.970245,0.05779,0.800187,1.249708,0
51,0,1662,429,0.794835,1,0.029772,1,0.970228,0.057823,0.79972,1.250438,0
51,0,1661,430,0.794357,1,0.02979,1,0.97021,0.057856,0.799253,1.251168,0
51,0,1660,431,0.793879,1,0.029807,1,0.970193,0.057889,0.798786,1.251899,0
51,0,1659,432,0.7934,1,0.029825,1,0.970175,0.057922,0.798319,1.252632,0
51,0,1658,433,0.792922,1,0.029842,1,0.970158,0.057955,0.797852,1.253365,0
51,0,1657,434,0.792444,1,0.029859,1,0.970141,0.057987,0.797386,1.254098,0
51,0,1656,435,0.791966,1,0.029877,1,0.970123,0.05802,0.796919,1.254833,0
51,0,1655,436,0.791487,1,0.029894,1,0.970106,0.058054,0.796452,1.255569,0
51,0,1654,437,0.791009,1,0.029912,1,0.970088,0.058087,0.795985,1.256305,0
51,0,1653,438,0.790531,1,0.02993,1,0.97007,0.05812,0.795518,1.257042,0
51,0,1652,439,0.790053,1,0.029947,1,0.970053,0.058153,0.795051,1.25778,0
51,0,1651,440,0.789574,1,0.029965,1,0.970035,0.058186,0.794585,1.258519,0
51,0,1650,441,0.789096,1,0.029982,1,0.970018,0.058219,0.794118,1.259259,0
51,0,1649,442,0.788618,1,0.03,1,0.97,0.058252,0.793651,1.26,0
